global_key,paper_key,name,gender
aaai,conf/aaai/ChangZRL11,Yi Chang,F
aaai,conf/aaai/ChannarukulMA02,Susan Weber McRoy,F
aaai,conf/aaai/ChaoCT10,Andrea Lockerd Thomaz,F
aaai,conf/aaai/ChaoGYT10,Andrea Lockerd Thomaz,F
aaai,conf/aaai/ChatterjeeCD16,Jessica Davies,F
aaai,conf/aaai/ChaturvediGD16,Snigdha Chaturvedi,F
aaai,conf/aaai/ChaturvediSDD16,Snigdha Chaturvedi,F
aaai,conf/aaai/ChelmisASFP15,Saima Aman,F
aaai,conf/aaai/ChenBP15,Claire Bonial,F
aaai,conf/aaai/ChenC11a,Diane J. Cook,F
aaai,conf/aaai/ChenCB08,Minmin Chen,F
aaai,conf/aaai/ChenCBWZZ10,Jiajun Bu,F
aaai,conf/aaai/ChenCCJ16,Francine Chen,F
aaai,conf/aaai/ChenCK16,Lin Chen 0003,F
aaai,conf/aaai/ChenCWZ15,Minmin Chen,F
aaai,conf/aaai/ChenCZSZ16,Ning Chen,F
aaai,conf/aaai/ChenDLX13,Ying Xie,F
aaai,conf/aaai/ChenDTZ16,Ning Chen,F
aaai,conf/aaai/ChenFL02,Ping Chen,F
aaai,conf/aaai/ChenGGK11,Yiling Chen,F
aaai,conf/aaai/ChenGSDW14,Lexi Gao,F
aaai,conf/aaai/ChenH16,Jane Yung-jen Hsu,F
aaai,conf/aaai/ChenJ07,Rong Jin,F
aaai,conf/aaai/ChenJKBSK15,Yuxin Chen,F
aaai,conf/aaai/ChenJSY11,Si Shen,F
aaai,conf/aaai/ChenJXCY10,Jia Chen,F
aaai,conf/aaai/ChenLPP10,Yiling Chen,F
aaai,conf/aaai/ChenLT08,Xiaoou Tang,F
aaai,conf/aaai/ChenLXYK12,Xing Chen,F
aaai,conf/aaai/ChenLZ12,Wei Chen,F
aaai,conf/aaai/ChenLZ12a,Ning Chen,F
aaai,conf/aaai/ChenNW15,Yiling Chen,F
aaai,conf/aaai/ChenP06,Li Chen,F
aaai,conf/aaai/ChenP15,Li Chen,F
aaai,conf/aaai/ChenSYS16,Xuan Song,F
aaai,conf/aaai/ChenTP14,Judea Pearl,F
aaai,conf/aaai/ChenWW15,Jianmin Wang 0001,F
aaai,conf/aaai/ChenWW15a,Jianmin Wang 0001,F
aaai,conf/aaai/ChenXJC15,Yunqing Xia,F
aaai,conf/aaai/ChenZCQXD15,Gao Cong,F
aaai,conf/aaai/ChenZCZ14,Ning Chen,F
aaai,conf/aaai/ChenZHZLC13,Xia Hu,F
aaai,conf/aaai/ChenZKL10,Bi Chen,F
aaai,conf/aaai/ChenZPC16,Nevin L. Zhang,F
aaai,conf/aaai/ChenZWHC16,Xiaolin Zheng,F
aaai,conf/aaai/ChenZWHL14,Xiaolin Zheng,F
aaai,conf/aaai/ChenZY0ZZ16,Bei Chen,F
aaai,conf/aaai/ChenZZ10,Yi Zhou,F
aaai,conf/aaai/ChengCDXI12,Wenli Xu,F
aaai,conf/aaai/ChengCN05,Radhika Nagpal,F
aaai,conf/aaai/ChengLLTP16,Li Li,F
aaai,conf/aaai/ChengRL10,Anita Raja,F
aaai,conf/aaai/ChengRL10a,Anita Raja,F
aaai,conf/aaai/Chhaya11,Niyati Chhaya,F
aaai,conf/aaai/ChiaBKSS14,Satinder P. Singh,F
aaai,conf/aaai/ChieuN02,Hwee Tou Ng,F
aaai,conf/aaai/ChiscaSSO16,Danuta Sorina Chisca,F
aaai,conf/aaai/ChitsazWW15,Mahsa Chitsaz,F
aaai,conf/aaai/ChklovskiG05,Yolanda Gil,F
aaai,conf/aaai/Chohlas-WoodMRD15,Aliya Merali,F
aaai,conf/aaai/ChoiH08,Tracy Hammond,F
aaai,conf/aaai/ChoiHSD16,Jonghyun Choi,F
aaai,conf/aaai/ChoiTD16,Nazgol Tavabi,F
aaai,conf/aaai/ChouSRG16,Li Chou,F
aaai,conf/aaai/Chu-CarrollF11,Jennifer Chu-Carroll,F
aaai,conf/aaai/Chu08,Selina Chu,F
aaai,conf/aaai/ChuSHL11,Yi Chu,F
aaai,conf/aaai/ChunCLTWY00,Jean Wong,F
aaai,conf/aaai/ChunYLLKLC05,Helena Chan,F
aaai,conf/aaai/ChungM11,Jessica Elan Chung,F
aaai,conf/aaai/CimattiHMR14,Andrea Micheli,F
aaai,conf/aaai/CimattiMR12,Andrea Micheli,F
aaai,conf/aaai/CimattiMR13,Andrea Micheli,F
aaai,conf/aaai/CimattiMR15,Andrea Micheli,F
aaai,conf/aaai/CimattiMR16,Andrea Micheli,F
aaai,conf/aaai/ClarkTHD00,Heather Holmback,F
aaai,conf/aaai/ClimerZ02,Sharlee Climer,F
aaai,conf/aaai/CoddingtonFGLS05,Maria Fox,F
aaai,conf/aaai/CohenJJPS06,Karen E. Petrie,F
aaai,conf/aaai/CohenOBA02,Carole R. Beal,F
