paper_key,l0,global_key
conf/aaai/BikakisA08,1,aaai
conf/aaai/Bilenko04,0,aaai
conf/aaai/BilgicG07,1,aaai
conf/aaai/BilgicG10,1,aaai
conf/aaai/BinasS04,1,aaai
conf/aaai/Bindewald14,1,aaai
conf/aaai/BingLWC16,1,aaai
conf/aaai/BinnewiesZW15,1,aaai
conf/aaai/BinshtokBSMB07,1,aaai
conf/aaai/BiskH12,1,aaai
conf/aaai/BiskMW16,1,aaai
conf/aaai/BissonKBI11,1,aaai
conf/aaai/BistaffaFR15,1,aaai
conf/aaai/BistarelliFO04,0,aaai
conf/aaai/BiswasT05,1,aaai
conf/aaai/BitanGKDA13,0,aaai
conf/aaai/BittnerBCO12,0,aaai
conf/aaai/BittnerBCZ16,0,aaai
conf/aaai/BittnerD07,0,aaai
conf/aaai/BitvaiC15,0,aaai
conf/aaai/BiyaniTB16,1,aaai
conf/aaai/BlackH06,0,aaai
conf/aaai/BlackmoreFW05,1,aaai
conf/aaai/BlankKMY05,1,aaai
conf/aaai/Blass16,0,aaai
conf/aaai/BlassF15,0,aaai
conf/aaai/BlaylockA06,0,aaai
conf/aaai/BliemCHW16,1,aaai
conf/aaai/BlockWW06,0,aaai
conf/aaai/BlockiCDPS15,1,aaai
conf/aaai/BlohmCS07,0,aaai
conf/aaai/BlumHP14,1,aaai
conf/aaai/BlumMM15,1,aaai
conf/aaai/BlumR08,0,aaai
conf/aaai/BlumR13,0,aaai
conf/aaai/BlumbergS04,1,aaai
conf/aaai/Blumrosen07,0,aaai
conf/aaai/Blythe02,0,aaai
conf/aaai/Blythe05,0,aaai
conf/aaai/BnayaPSF13,1,aaai
conf/aaai/BobicevS08,0,aaai
conf/aaai/BochmanL15,0,aaai
conf/aaai/BoerkoelD08,0,aaai
conf/aaai/BoerkoelD12,0,aaai
conf/aaai/BoerkoelD13,0,aaai
conf/aaai/BoeseH05,0,aaai
conf/aaai/BogdanovicMDF15,0,aaai
conf/aaai/BogomolovMPW14,0,aaai
conf/aaai/BoguslawskiGSH14,0,aaai
conf/aaai/Bohnenberger02,0,aaai
conf/aaai/BoiaMF14,1,aaai
conf/aaai/BoicuT00,0,aaai
conf/aaai/BoicuTAMBBSWLAC05,0,aaai
conf/aaai/BoicuTB02,0,aaai
conf/aaai/BoicuTB05,0,aaai
conf/aaai/BoicuTMSBBBH02,1,aaai
conf/aaai/BoidotMF15,1,aaai
conf/aaai/BollackerCT07,0,aaai
conf/aaai/BollegalaAMK16,1,aaai
conf/aaai/BollegalaMYK15,1,aaai
conf/aaai/BonattiFS11,0,aaai
conf/aaai/BonattiPLC16,0,aaai
conf/aaai/BonattiPS08,1,aaai
conf/aaai/BonetG05,0,aaai
conf/aaai/BonetG12,0,aaai
conf/aaai/BonetG12a,0,aaai
conf/aaai/BonetG14,0,aaai
conf/aaai/BonetPG10,0,aaai
conf/aaai/BonomiGPR12,0,aaai
conf/aaai/BonzonDKM16,0,aaai
conf/aaai/BootsG11,0,aaai
conf/aaai/BordeauxCM05,0,aaai
conf/aaai/BordesWCB11,1,aaai
conf/aaai/BorghettiS06,1,aaai
conf/aaai/BorjiSI12,1,aaai
conf/aaai/BorowskyE08,0,aaai
conf/aaai/BosanskyC15,0,aaai
conf/aaai/BosanskyJTK15,1,aaai
conf/aaai/BoteaS15,1,aaai
conf/aaai/BoteaSH15,1,aaai
conf/aaai/Boteanu14,0,aaai
conf/aaai/BoteanuC15,0,aaai
conf/aaai/BotoevaCSSSX16,1,aaai
conf/aaai/Bou-AmmarERT15,1,aaai
conf/aaai/BouchardBB14,1,aaai
conf/aaai/BouchardHC16,0,aaai
conf/aaai/BoucherCMD15,1,aaai
conf/aaai/BoufkhadR00,1,aaai
conf/aaai/BoujarwahKAA11,1,aaai
conf/aaai/BoulariasBS14,1,aaai
conf/aaai/BoulariasBS15,1,aaai
conf/aaai/Boutilier00,0,aaai
conf/aaai/Boutilier02,0,aaai
conf/aaai/Boutilier02a,0,aaai
conf/aaai/BoutilierLOP14,1,aaai
conf/aaai/BoutilierP12,0,aaai
conf/aaai/BoutilierPSW08,0,aaai
conf/aaai/BoutilierRST00,0,aaai
conf/aaai/BoutilierRV10,0,aaai
conf/aaai/BoutilierSS04,0,aaai
conf/aaai/Bova16,0,aaai
conf/aaai/BowenL04,1,aaai
conf/aaai/BowlingM05,0,aaai
conf/aaai/BowlingWG06,1,aaai
conf/aaai/BowmanTB00,0,aaai
conf/aaai/BozzanoCGM15,0,aaai
conf/aaai/BozzanoCGT13,0,aaai
conf/aaai/BrafmanD06,0,aaai
conf/aaai/BrafmanDEF11,0,aaai
conf/aaai/BrafmanDET10,0,aaai
conf/aaai/BrafmanDSS06,0,aaai
conf/aaai/BrafmanE10,0,aaai
conf/aaai/BrafmanPRSVW11,0,aaai
conf/aaai/BrafmanS12,1,aaai
conf/aaai/BrafmanSZ13,1,aaai
conf/aaai/BrafmanT05,0,aaai
conf/aaai/BramsFLMP12,1,aaai
conf/aaai/Brandherm02,0,aaai
conf/aaai/BrandtBH14,0,aaai
conf/aaai/BrandtBHH10,0,aaai
